WB,Country,Product Diversification,GDP
ROW,15,,
ABW,,,
ADO,,3.20976,
AFG,Afghanistan,3.70373,
AGO,Angola,3.7885,1154.091811
AIA,Anguilla,,
ALB,Albania,2.95166,939.1117376
ARE,United Arab Emirates,6.22119,64866.00881
ARG,Argentina,2.67228,3506.564548
ARM,Armenia,,
ATG,Antigua and Barbuda,4.55783,1447.394759
AUS,Australia,2.40227,5173.89437
AUT,Austria,1.3318,4934.074633
AZE,Azerbaijan,,
BDI,Burundi,5.45005,176.8439408
BEL,Belgium,1.27756,4823.069685
BEN,Benin,3.87151,403.0059275
BFA,Burkina Faso,4.10537,184.9414242
BGD,Bangladesh,5.11279,239.6078578
BGR,Bulgaria,1.98843,1473.612807
BHR,Bahrain,4.06593,8025.765652
BHS,"Bahamas, The",3.90983,4404.6514
BIH,Bosnia and Herzegovina,,
BLR,Belarus,,
BLZ,Belize,3.86957,671.8449326
BMU,,3.94791,
BOL,Bolivia,3.87091,1049.206548
BRA,Brazil,2.91631,1737.089237
BRB,Barbados,3.53087,1867.542846
CAF,Central African Republic,4.34875,222.6915105
CAN,Canada,2.26991,5322.057157
CHE,Switzerland,1.73139,8799.767687
CHL,Chile,4.55973,1812.442308
CHN,China,1.67545,122.3817748
CIV,Côte d'Ivoire,3.95431,787.9052819
CMR,Cameroon,3.81436,541.0161599
COD,"Congo, Democratic Republic of the",3.89449,503.4056606
COG,"Congo, Republic of",3.7319,868.767122
COL,Colombia,4.01992,1276.67789
COM,Comoros,4.39347,331.5214896
CPV,Cabo Verde,3.77749,
CRI,Costa Rica,4.14364,
CUB,,4.77732,
CYM,,4.13746,
CYP,Cyprus,3.20319,2846.319281
CZE,Czech Republic,,
DEU,Germany,1.30226,5131.519096
DJI,Djibouti,3.15332,
DMA,Dominica,5.68199,
DNK,Denmark,1.57334,5732.344075
DOM,Dominican Republic,3.96761,1020.582118
DZA,Algeria,5.60593,2406.448897
ECU,Ecuador,4.42328,1184.008921
EGY,Egypt,3.73706,916.7362297
ERI,Eritrea,,
ESP,Spain,1.55594,3795.311398
EST,Estonia,,
ETH,Ethiopia,,177.3539669
FIN,Finland,2.29937,4312.882898
FJI,Fiji,4.02636,1091.182214
FRA,France,1.13973,4952.40748
FRO,,4.90738,
GAB,Gabon,4.60088,5657.528145
GBR,United Kingdom,1.19711,4272.344098
GEO,Georgia,,
GHA,Ghana,4.62666,571.503228
GIB,,2.63028,
GIN,Guinea,5.68623,
GMB,"Gambia, The",4.70547,277.9650034
GNB,Guinea-Bissau,3.68661,
GNQ,Equatorial Guinea,5.27073,
GRC,Greece,2.34827,4180.372033
