WB,Country,Product Diversification,GDP
ROW,27,,
ABW,,,
ADO,,3.13475,
AFG,Afghanistan,3.69577,
AGO,Angola,6.09154,2002.778265
AIA,Anguilla,4.39654,
ALB,Albania,3.05755,2595.254961
ARE,United Arab Emirates,5.31528,71677.30287
ARG,Argentina,2.64496,7156.480964
ARM,Armenia,,
ATG,Antigua and Barbuda,4.15496,6378.869681
AUS,Australia,2.46071,13583.10335
AUT,Austria,1.27529,14696.02009
AZE,Azerbaijan,,
BDI,Burundi,5.67116,435.7151422
BEL,Belgium,1.32598,13971.6167
BEN,Benin,4.31579,827.5290525
BFA,Burkina Faso,4.53799,385.4294791
BGD,Bangladesh,3.92142,664.483062
BGR,Bulgaria,1.97673,6568.790494
BHR,Bahrain,3.96843,23257.87103
BHS,"Bahamas, The",3.99539,12077.15586
BIH,Bosnia and Herzegovina,,
BLR,Belarus,,
BLZ,Belize,4.0524,1736.970551
BMU,,3.00655,
BOL,Bolivia,4.52051,2161.832201
BRA,Brazil,2.06623,5393.825183
BRB,Barbados,3.34433,6578.250376
CAF,Central African Republic,4.59405,515.6003752
CAN,Canada,2.10729,15284.52414
CHE,Switzerland,1.58998,21686.5799
CHL,Chile,3.58467,3804.042883
CHN,China,1.96885,535.8133545
CIV,Côte d'Ivoire,3.92289,1834.761381
CMR,Cameroon,4.74799,1902.78984
COD,"Congo, Democratic Republic of the",4.1579,801.4800364
COG,"Congo, Republic of",5.60179,2332.029552
COL,Colombia,4.05667,3445.596117
COM,Comoros,4.73273,945.34809
CPV,Cabo Verde,4.24608,1172.574461
CRI,Costa Rica,3.37403,3821.755801
CUB,,3.31857,
CYM,,4.62009,
CYP,Cyprus,2.31336,9429.23876
CZE,Czech Republic,,
DEU,Germany,1.28932,14652.74391
DJI,Djibouti,3.21629,
DMA,Dominica,4.57082,2630.720654
DNK,Denmark,1.49375,15892.42371
DOM,Dominican Republic,3.16347,3082.819596
DZA,Algeria,4.87846,6210.354217
ECU,Ecuador,4.6377,3867.040226
EGY,Egypt,4.77122,3245.116949
ERI,Eritrea,,
ESP,Spain,1.55425,10104.51385
EST,Estonia,,
ETH,Ethiopia,,369.637634
FIN,Finland,2.12307,13117.02557
FJI,Fiji,3.69823,2654.170807
FRA,France,1.15787,14026.45571
FRO,,4.87293,
GAB,Gabon,5.57015,11094.56989
GBR,United Kingdom,1.74011,11918.73059
GEO,Georgia,,
GHA,Ghana,4.82817,921.1285202
GIB,,2.86924,
GIN,Guinea,5.75789,
GMB,"Gambia, The",4.27174,876.9240989
GNB,Guinea-Bissau,4.15841,685.5695707
GNQ,Equatorial Guinea,4.91493,485.343779
GRC,Greece,2.15915,10825.10653
GRD,Grenada,4.18576,2740.672201
GRL,,4.66183,
GTM,Guatemala,3.17277,3010.288965
GUY,Guyana,4.22643,1797.795618
HKG,Hong Kong SAR,2.27237,10330.58061
HND,Honduras,3.71234,1664.566906
HRV,Croatia,,
HTI,Haiti,2.84444,1215.236008
HUN,Hungary,1.49523,8677.371813
IDN,Indonesia,4.37953,1782.148397
IND,India,2.2286,780.8681552
IRL,Ireland,1.85656,9239.656403
IRN,Iran,6.15292,6688.764948
IRQ,Iraq,6.07805,
ISL,Iceland,4.0869,13813.32912
ISR,Israel,2.54558,9175.223243
ITA,Italy,1.35253,13892.65932
JAM,Jamaica,4.02965,3859.737932
JOR,Jordan,2.63398,5072.636839
JPN,Japan,1.98078,12032.28128
KAZ,Kazakhstan,,
KEN,Kenya,3.5441,1250.064954
KGZ,Kyrgyz Republic,,
KHM,Cambodia,4.66915,
KIR,Kiribati,6.15097,1236.658836
KNA,St. Kitts and Nevis,3.51591,4902.554422
KOR,Korea,2.00955,3737.795359
KWT,Kuwait,4.68873,28859.18442
LAO,Lao P.D.R.,3.379,785.3643221
LBN,Lebanon,2.67106,8647.156047
LBR,Liberia,4.49363,
LBY,Libya,6.07157,19019.82858
LCA,St. Lucia,5.43346,3023.985767
LKA,Sri Lanka,3.9381,1497.840142
LTU,Lithuania,,
LVA,Latvia,,
MAC,Macao SAR,3.42497,
MAR,Morocco,3.29027,1872.611629
MDA,Moldova,,
MDG,Madagascar,4.15397,914.9347059
MDV,Maldives,4.45665,1740.018902
MEX,Mexico,3.57712,6943.919221
MKD,"Macedonia, FYR",,
MLI,Mali,5.38971,603.6833884
MLT,Malta,2.9934,7783.480575
MMR,Myanmar,3.61794,
MNG,Mongolia,4.31845,
MOZ,Mozambique,3.11442,152.4259825
MRT,Mauritania,4.89186,
MSR,,2.93677,
MUS,Mauritius,3.92814,2726.776181
MWI,Malawi,4.89225,434.8050111
MYS,Malaysia,3.21659,4847.100064
NCL,,5.4492,
NER,Niger,5.64574,506.9487566
NGA,Nigeria,6.10608,
NIC,Nicaragua,4.26167,
NLD,Netherlands,1.32816,14712.93687
NOR,Norway,3.07023,20744.80271
NPL,Nepal,2.9247,551.1205953
NZL,New Zealand,2.43239,12086.04435
OMN,Oman,5.88768,14206.59104
PAK,Pakistan,2.7724,1263.528245
PAN,Panama,3.16263,4551.259053
PER,Peru,3.12446,3525.719982
PHL,Philippines,2.82346,2159.809725
PNG,Papua New Guinea,3.69329,827.8573993
POL,Poland,2.37065,5137.790295
PRK,,2.74009,
PRT,Portugal,1.93484,7768.597338
PRY,Paraguay,3.74329,3046.480373
PYF,,4.94792,
QAT,Qatar,5.81827,65417.65185
ROU,Romania,2.6146,6870.387444
RUS,Russia,,
RWA,Rwanda,5.43268,584.8154927
SAU,Saudi Arabia,5.81831,25720.38359
SDN,Sudan,3.81161,471.6619989
SEN,Senegal,4.04028,1018.701482
SGP,Singapore,2.46871,13676.08843
SLB,Solomon Islands,4.24053,842.6052796
SLE,Sierra Leone,3.93372,445.5365871
SLV,El Salvador,3.79613,2319.730566
SOM,Somalia,4.66167,
SRB,Serbia,,
STP,São Tomé and Príncipe,5.09358,1440.06711
SUR,Suriname,4.35229,
SVK,Slovak Republic,,
SVN,Slovenia,,
SWE,Sweden,1.65083,14790.50779
SYC,Seychelles,4.66711,5368.052211
SYR,Syria,4.44524,2394.700378
TCD,Chad,5.92713,562.5627652
TGO,Togo,4.78673,808.5295493
THA,Thailand,2.5689,2297.717677
TJK,Tajikistan,,
TKM,Turkmenistan,,
TON,Tonga,3.86432,1745.693233
TTO,Trinidad and Tobago,4.51862,8126.434512
TUN,Tunisia,3.48408,2833.082618
TUR,Turkey,1.96482,4695.607456
TZA,Tanzania,3.95349,705.4647809
UGA,Uganda,5.78647,463.7136201
UKR,Ukraine,,
URY,Uruguay,2.59126,4605.024022
USA,United States,1.44398,17099.34841
UZB,Uzbekistan,,
VCT,St. Vincent and the Grenadines,4.49206,2392.315643
VEN,Venezuela,4.79369,8392.739739
VGB,,5.23477,
VNM,Vietnam,3.50438,668.8002169
WSM,Samoa,3.88461,
YEM,Yemen,3.86953,
ZAF,South Africa,2.31218,5657.864096
ZMB,Zambia,5.34191,1504.119366
ZWE,Zimbabwe,3.40144,
