WB,Country,Product Diversification,GDP
ROW,26,,
ABW,,,
ADO,,3.39499,
AFG,Afghanistan,3.9265,
AGO,Angola,6.01622,1872.897032
AIA,Anguilla,5.22646,
ALB,Albania,2.93694,2507.899114
ARE,United Arab Emirates,5.47749,71748.26417
ARG,Argentina,2.70681,6891.140242
ARM,Armenia,,
ATG,Antigua and Barbuda,3.79019,5490.660462
AUS,Australia,2.39352,12489.18671
AUT,Austria,1.28214,14146.93507
AZE,Azerbaijan,,
BDI,Burundi,5.37346,432.4411612
BEL,Belgium,1.36781,13161.32367
BEN,Benin,3.20919,821.0535877
BFA,Burkina Faso,4.36934,375.5904391
BGD,Bangladesh,3.92286,632.546641
BGR,Bulgaria,1.99164,6074.495382
BHR,Bahrain,3.92462,22284.69077
BHS,"Bahamas, The",4.41367,11644.11629
BIH,Bosnia and Herzegovina,,
BLR,Belarus,,
BLZ,Belize,3.98323,1547.858427
BMU,,3.57087,
BOL,Bolivia,4.21405,2135.606061
BRA,Brazil,2.12919,5051.952569
BRB,Barbados,3.08472,6132.040356
CAF,Central African Republic,4.23191,463.8985096
CAN,Canada,2.10828,14067.40997
CHE,Switzerland,1.60111,20372.23973
CHL,Chile,3.62191,3524.361566
CHN,China,1.87394,455.0572768
CIV,Côte d'Ivoire,3.50184,1858.586749
CMR,Cameroon,4.49288,1755.806981
COD,"Congo, Democratic Republic of the",4.27858,762.6090167
COG,"Congo, Republic of",5.32631,2267.756636
COL,Colombia,4.07884,3287.944075
COM,Comoros,5.37594,885.1511998
CPV,Cabo Verde,4.66537,1114.431246
CRI,Costa Rica,3.44512,3516.13325
CUB,,3.61613,
CYM,,4.15015,
CYP,Cyprus,2.29611,8480.88713
CZE,Czech Republic,,
DEU,Germany,1.30383,13706.0636
DJI,Djibouti,3.691,
DMA,Dominica,4.67296,2429.463184
DNK,Denmark,1.50991,14721.19318
DOM,Dominican Republic,3.14794,3011.062802
DZA,Algeria,4.99034,5861.888315
ECU,Ecuador,4.89809,3681.91711
EGY,Egypt,4.7084,2981.737939
ERI,Eritrea,,
ESP,Spain,1.51233,9633.523746
EST,Estonia,,
ETH,Ethiopia,,377.4037974
FIN,Finland,2.09303,12364.80929
FJI,Fiji,3.97348,2377.963574
FRA,France,1.1713,13402.11036
FRO,,4.82093,
GAB,Gabon,5.3311,10438.55187
GBR,United Kingdom,1.66539,11272.83973
GEO,Georgia,,
GHA,Ghana,4.66842,859.3613095
GIB,,3.99658,
GIN,Guinea,5.68159,
GMB,"Gambia, The",4.12376,954.216138
GNB,Guinea-Bissau,4.09071,640.7360876
GNQ,Equatorial Guinea,5.06836,500.6726917
GRC,Greece,2.27568,10301.61113
GRD,Grenada,4.13405,2611.08437
GRL,,4.68935,
GTM,Guatemala,3.0485,2966.470405
GUY,Guyana,4.25273,1699.905464
HKG,Hong Kong SAR,2.33564,9206.499912
HND,Honduras,3.57495,1588.336232
HRV,Croatia,,
HTI,Haiti,2.87426,1192.329045
HUN,Hungary,1.43925,8139.067279
IDN,Indonesia,4.59805,1631.514145
IND,India,2.28077,742.2517057
IRL,Ireland,1.83232,8707.617522
IRN,Iran,6.23471,7236.444424
IRQ,Iraq,6.22183,
ISL,Iceland,4.30819,12967.50177
ISR,Israel,2.57424,8781.04301
ITA,Italy,1.35738,12997.71631
JAM,Jamaica,3.88277,3700.706582
JOR,Jordan,2.58956,4879.591978
JPN,Japan,1.9208,11196.04503
KAZ,Kazakhstan,,
KEN,Kenya,3.24651,1228.754026
KGZ,Kyrgyz Republic,,
KHM,Cambodia,3.95524,
KIR,Kiribati,5.88796,1160.051652
KNA,St. Kitts and Nevis,3.50151,4292.965915
KOR,Korea,1.96665,3308.959945
KWT,Kuwait,4.4322,27057.47193
LAO,Lao P.D.R.,4.47045,731.9117398
LBN,Lebanon,2.31273,5779.924818
LBR,Liberia,4.52659,
LBY,Libya,6.09348,20897.73036
LCA,St. Lucia,4.76334,2745.32814
LKA,Sri Lanka,3.57561,1369.931013
LTU,Lithuania,,
LVA,Latvia,,
MAC,Macao SAR,3.5006,
MAR,Morocco,3.24838,1774.351739
MDA,Moldova,,
MDG,Madagascar,4.28299,891.4178117
MDV,Maldives,4.64271,1482.117612
MEX,Mexico,3.85517,6623.641434
MKD,"Macedonia, FYR",,
MLI,Mali,4.7982,580.0066494
MLT,Malta,3.17636,7397.064514
MMR,Myanmar,3.60382,
MNG,Mongolia,3.10616,
MOZ,Mozambique,3.12187,159.9589002
MRT,Mauritania,4.86634,
MSR,,3.02454,
MUS,Mauritius,4.17181,2537.150349
MWI,Malawi,4.74708,412.5497008
MYS,Malaysia,3.29351,4452.260173
NCL,,5.23014,
NER,Niger,5.82048,608.6660945
NGA,Nigeria,6.08976,
NIC,Nicaragua,4.06955,
NLD,Netherlands,1.34154,13833.52075
NOR,Norway,3.00121,18942.99998
NPL,Nepal,2.99471,496.5581836
NZL,New Zealand,2.60154,11032.66384
OMN,Oman,5.99339,12905.31608
PAK,Pakistan,2.8995,1206.365988
PAN,Panama,2.95549,4377.793349
PER,Peru,3.18308,3357.587606
PHL,Philippines,2.72733,2306.382546
PNG,Papua New Guinea,4.09499,825.1987703
POL,Poland,2.22388,5023.028399
PRK,,2.56397,
PRT,Portugal,1.96169,7608.781461
PRY,Paraguay,3.79602,2947.168862
PYF,,4.50737,
QAT,Qatar,5.7712,58098.27705
ROU,Romania,2.42666,6284.811869
RUS,Russia,,
RWA,Rwanda,5.56035,512.0626875
SAU,Saudi Arabia,5.91823,27357.18552
SDN,Sudan,3.71331,505.1983222
SEN,Senegal,3.90004,976.3920784
SGP,Singapore,2.63166,12370.70085
SLB,Solomon Islands,4.19587,838.2425138
SLE,Sierra Leone,3.7988,425.5001623
SLV,El Salvador,3.85727,2224.353551
SOM,Somalia,4.74014,
SRB,Serbia,,
STP,São Tomé and Príncipe,4.91452,1517.348573
SUR,Suriname,4.24248,
SVK,Slovak Republic,,
SVN,Slovenia,,
SWE,Sweden,1.6239,13715.2391
SYC,Seychelles,4.66075,4999.590801
SYR,Syria,4.35466,2555.707956
TCD,Chad,5.00839,529.0557487
TGO,Togo,4.40799,764.0034922
THA,Thailand,2.61236,2143.028936
TJK,Tajikistan,,
TKM,Turkmenistan,,
TON,Tonga,3.39903,1182.306013
TTO,Trinidad and Tobago,4.51561,8451.405804
TUN,Tunisia,3.51882,2617.738317
TUR,Turkey,1.99817,4344.845645
TZA,Tanzania,3.86993,677.0676117
UGA,Uganda,6.05091,476.6290566
UKR,Ukraine,,
URY,Uruguay,2.6553,4525.071532
USA,United States,1.39295,15531.1819
UZB,Uzbekistan,,
VCT,St. Vincent and the Grenadines,4.08896,2211.511986
VEN,Venezuela,4.89201,7918.972465
VGB,,5.70037,
VNM,Vietnam,3.50001,607.2485386
WSM,Samoa,3.40731,
YEM,Yemen,2.50533,
ZAF,South Africa,2.31605,5331.269283
ZMB,Zambia,5.47859,1523.412559
ZWE,Zimbabwe,3.66666,
