WB,Country,Product Diversification,GDP
ROW,33,,
ABW,,4.29891,
ADO,,3.40138,
AFG,Afghanistan,4.0432,
AGO,Angola,6.01479,2127.41857
AIA,Anguilla,3.61678,
ALB,Albania,2.58122,2846.310028
ARE,United Arab Emirates,5.01994,70739.52751
ARG,Argentina,1.9487,7266.800823
ARM,Armenia,,
ATG,Antigua and Barbuda,3.19207,11884.21239
AUS,Australia,2.22925,18730.25675
AUT,Austria,1.40696,20328.26209
AZE,Azerbaijan,,
BDI,Burundi,5.09177,591.5022609
BEL,Belgium,1.44662,19715.22586
BEN,Benin,4.34307,950.0162896
BFA,Burkina Faso,4.88999,545.7902465
BGD,Bangladesh,3.99015,848.2604061
BGR,Bulgaria,1.73557,8450.550682
BHR,Bahrain,3.32514,25398.31158
BHS,"Bahamas, The",4.1229,15383.41947
BIH,Bosnia and Herzegovina,,
BLR,Belarus,,5274.750601
BLZ,Belize,3.91982,3285.94701
BMU,,5.85421,
BOL,Bolivia,3.40809,2522.082291
BRA,Brazil,1.93444,6826.196417
BRB,Barbados,2.54211,8951.92045
CAF,Central African Republic,4.76202,627.8512665
CAN,Canada,1.97327,20302.03229
CHE,Switzerland,1.73421,30142.35823
CHL,Chile,3.38592,5846.223676
CHN,China,1.90686,979.4828117
CIV,Côte d'Ivoire,3.47215,2004.57101
CMR,Cameroon,3.99227,1852.111664
COD,"Congo, Democratic Republic of the",4.48502,794.9847834
COG,"Congo, Republic of",5.22657,3632.000499
COL,Colombia,3.51302,4862.65233
COM,Comoros,4.63673,1043.736463
CPV,Cabo Verde,4.75559,1633.980711
CRI,Costa Rica,3.21272,4921.358265
CUB,,4.14342,
CYM,,4.42318,
CYP,Cyprus,2.60122,15315.54353
CZE,Czech Republic,,
DEU,Germany,1.42841,20648.34383
DJI,Djibouti,2.4631,2444.719584
DMA,Dominica,4.34858,4238.269269
DNK,Denmark,1.51699,21272.30124
DOM,Dominican Republic,3.1364,3638.230117
DZA,Algeria,4.48564,6861.676757
ECU,Ecuador,4.32899,4625.071255
EGY,Egypt,3.93919,4426.319845
ERI,Eritrea,,
ESP,Spain,1.5637,15403.46189
EST,Estonia,,
ETH,Ethiopia,,416.2334948
FIN,Finland,2.06743,18542.42633
FJI,Fiji,3.43704,3631.27585
FRA,France,1.28583,19661.78988
FRO,,5.13981,
GAB,Gabon,5.51886,12902.90482
GBR,United Kingdom,1.40352,17500.96658
GEO,Georgia,,
GHA,Ghana,4.10386,1266.524538
GIB,,3.29942,
GIN,Guinea,5.21383,715.5712142
GMB,"Gambia, The",4.51457,1015.307911
GNB,Guinea-Bissau,4.34941,875.3880573
GNQ,Equatorial Guinea,5.1387,549.8344809
GRC,Greece,2.22558,13858.81412
GRD,Grenada,3.40029,4660.140596
GRL,,5.01837,
GTM,Guatemala,2.93796,3579.953064
