WB,Country,Product Diversification,GDP
ROW,17,,
ABW,,,
ADO,,3.16421,
AFG,Afghanistan,3.68695,
AGO,Angola,3.98863,1406.054633
AIA,Anguilla,,
ALB,Albania,3.19783,1088.443447
ARE,United Arab Emirates,6.29808,68565.84742
ARG,Argentina,2.44496,4361.661584
ARM,Armenia,,
ATG,Antigua and Barbuda,4.23127,1926.055316
AUS,Australia,2.42515,6106.296489
AUT,Austria,1.35754,6157.783868
AZE,Azerbaijan,,
BDI,Burundi,4.89011,209.5943882
BEL,Belgium,1.27558,6136.391633
BEN,Benin,3.56507,415.4557102
BFA,Burkina Faso,4.02109,210.0806239
BGD,Bangladesh,4.66763,311.332746
BGR,Bulgaria,2.04707,1972.566915
BHR,Bahrain,4.20939,10148.12946
BHS,"Bahamas, The",4.57354,5574.354675
BIH,Bosnia and Herzegovina,,
BLR,Belarus,,
BLZ,Belize,4.08429,821.3208292
BMU,,3.48232,
BOL,Bolivia,3.98763,1323.038242
BRA,Brazil,2.56685,2380.001546
BRB,Barbados,2.73259,2340.847231
CAF,Central African Republic,4.29415,263.4137735
CAN,Canada,2.28244,6618.737186
CHE,Switzerland,1.71027,10487.99594
CHL,Chile,4.61166,1923.419395
CHN,China,1.8368,158.0917485
CIV,Côte d'Ivoire,3.86572,938.5917973
CMR,Cameroon,3.84932,632.1608593
COD,"Congo, Democratic Republic of the",4.18416,611.0724441
COG,"Congo, Republic of",4.6095,1153.305072
COL,Colombia,3.7457,1563.598586
COM,Comoros,4.35334,394.655352
CPV,Cabo Verde,3.30001,
CRI,Costa Rica,3.7616,
CUB,,5.29306,
CYM,,3.34011,
CYP,Cyprus,3.07793,2739.796401
CZE,Czech Republic,,
DEU,Germany,1.19497,6160.831119
DJI,Djibouti,3.3311,
DMA,Dominica,5.12668,
DNK,Denmark,1.48836,6710.000262
DOM,Dominican Republic,4.1494,1332.137113
DZA,Algeria,5.69385,2830.020525
ECU,Ecuador,4.76011,1714.974388
EGY,Egypt,3.9443,1046.931335
ERI,Eritrea,,
ESP,Spain,1.39628,4878.185337
EST,Estonia,,
ETH,Ethiopia,,205.5729964
FIN,Finland,2.36343,5399.134002
FJI,Fiji,3.92258,1380.202681
FRA,France,1.04585,6097.292524
FRO,,4.89811,
GAB,Gabon,5.24188,7282.631849
GBR,United Kingdom,1.11974,5169.070562
GEO,Georgia,,
GHA,Ghana,4.66578,704.6233482
GIB,,2.7567,
GIN,Guinea,5.18811,
GMB,"Gambia, The",4.9356,377.3559553
GNB,Guinea-Bissau,3.97416,
GNQ,Equatorial Guinea,5.24466,
GRC,Greece,2.17249,4812.242695
GRD,Grenada,3.81339,926.7426552
GRL,,4.14781,
GTM,Guatemala,3.35449,1530.442415
GUY,Guyana,4.20796,1211.109415
HKG,Hong Kong SAR,2.59123,2931.11995
HND,Honduras,3.72067,806.3279725
HRV,Croatia,,
HTI,Haiti,3.1315,576.5154752
HUN,Hungary,1.60802,3274.142348
IDN,Indonesia,4.65057,580.554123
IND,India,2.21091,319.0985498
IRL,Ireland,1.91567,3938.871702
IRN,Iran,5.83971,5893.619237
IRQ,Iraq,6.27439,
ISL,Iceland,4.23753,5354.074121
ISR,Israel,2.65702,4281.095908
ITA,Italy,1.35805,5690.678037
JAM,Jamaica,4.13501,2142.122636
JOR,Jordan,3.35768,1451.473712
JPN,Japan,1.62074,4539.250632
KAZ,Kazakhstan,,
KEN,Kenya,3.08627,570.5585838
KGZ,Kyrgyz Republic,,
KHM,Cambodia,4.84016,
KIR,Kiribati,6.4268,
KNA,St. Kitts and Nevis,,1585.585778
KOR,Korea,2.12669,952.2531306
KWT,Kuwait,5.54126,29978.09532
LAO,Lao P.D.R.,4.00934,323.258787
LBN,Lebanon,1.81427,7504.49848
LBR,Liberia,4.98244,
