WB,Country,Product Diversification,GDP
ROW,18,,
ABW,,,
ADO,,3.21693,
AFG,Afghanistan,3.46635,
AGO,Angola,4.34878,1367.882335
AIA,Anguilla,,
ALB,Albania,3.43187,1222.107608
ARE,United Arab Emirates,6.18075,76663.49932
ARG,Argentina,2.47133,4556.586637
ARM,Armenia,,
ATG,Antigua and Barbuda,4.87598,2166.711265
AUS,Australia,2.44832,6707.930275
AUT,Austria,1.30654,6663.571159
AZE,Azerbaijan,,
BDI,Burundi,4.81781,226.9193649
BEL,Belgium,1.23016,6563.493825
BEN,Benin,3.60754,461.8691622
BFA,Burkina Faso,3.74563,223.3462507
BGD,Bangladesh,4.42123,341.6170394
BGR,Bulgaria,2.1011,2346.355735
BHR,Bahrain,3.87145,10068.66044
BHS,"Bahamas, The",4.71403,5205.749644
BIH,Bosnia and Herzegovina,,
BLR,Belarus,,
BLZ,Belize,4.40541,903.8782924
BMU,,3.31796,
BOL,Bolivia,3.77724,1497.823915
BRA,Brazil,2.6716,2644.86754
BRB,Barbados,3.01484,2944.371399
CAF,Central African Republic,4.33467,283.3361164
CAN,Canada,2.30348,7263.297904
CHE,Switzerland,1.68526,10746.83784
CHL,Chile,3.89714,1801.691784
CHN,China,1.91706,181.2721168
CIV,Côte d'Ivoire,3.72907,1082.846429
CMR,Cameroon,3.94555,711.2738327
COD,"Congo, Democratic Republic of the",4.26521,617.0957142
COG,"Congo, Republic of",5.03978,1184.157592
COL,Colombia,3.633,1700.346687
COM,Comoros,4.31804,445.6029723
CPV,Cabo Verde,3.60946,
CRI,Costa Rica,3.80623,
CUB,,5.7316,
CYM,,2.89574,
CYP,Cyprus,2.82454,2465.155205
CZE,Czech Republic,,
DEU,Germany,1.23243,6675.377632
DJI,Djibouti,3.1327,
DMA,Dominica,5.25067,
DNK,Denmark,1.50398,7261.121027
DOM,Dominican Republic,4.50592,1493.005746
DZA,Algeria,5.66842,3310.593121
ECU,Ecuador,4.614,1923.201349
EGY,Egypt,3.6531,1279.832976
ERI,Eritrea,,
ESP,Spain,1.41861,5334.355246
EST,Estonia,,
ETH,Ethiopia,,219.3271913
FIN,Finland,2.22946,5945.21378
FJI,Fiji,4.90109,1479.179306
FRA,France,1.08449,6612.216523
FRO,,4.72837,
GAB,Gabon,5.25748,8426.258783
GBR,United Kingdom,1.1377,5605.334164
GEO,Georgia,,
GHA,Ghana,4.70067,661.1044175
GIB,,2.6529,
GIN,Guinea,5.3838,
GMB,"Gambia, The",5.09634,422.4197908
GNB,Guinea-Bissau,3.62704,
GNQ,Equatorial Guinea,5.28663,
GRC,Greece,2.11911,5547.869835
GRD,Grenada,3.53631,1048.893914
GRL,,4.29704,
GTM,Guatemala,3.34755,1653.895947
GUY,Guyana,4.25201,1443.332283
HKG,Hong Kong SAR,2.76614,3156.527766
HND,Honduras,3.37903,827.4262999
HRV,Croatia,,
HTI,Haiti,3.00322,627.4740922
HUN,Hungary,1.58344,3783.597471
IDN,Indonesia,4.80075,648.2782052
IND,India,2.3971,374.2480001
IRL,Ireland,1.9508,4292.077035
IRN,Iran,5.81087,6253.068876
