WB,Country,Product Diversification,GDP
ROW,30,,
ABW,,,
ADO,,3.71181,
AFG,Afghanistan,3.8302,
AGO,Angola,6.00948,2016.513637
AIA,Anguilla,4.08592,
ALB,Albania,2.83498,2722.632176
ARE,United Arab Emirates,4.99999,56008.09473
ARG,Argentina,2.19594,7580.570367
ARM,Armenia,,
ATG,Antigua and Barbuda,3.38837,9042.870884
AUS,Australia,2.32224,15892.24691
AUT,Austria,1.36351,16830.15539
AZE,Azerbaijan,,
BDI,Burundi,5.49752,525.2889443
BEL,Belgium,1.43733,15954.67289
BEN,Benin,4.30223,853.2021496
BFA,Burkina Faso,4.32944,493.1882199
BGD,Bangladesh,3.8954,735.1909157
BGR,Bulgaria,1.81772,8013.293325
BHR,Bahrain,3.51375,22262.29864
BHS,"Bahamas, The",3.68849,13780.28423
BIH,Bosnia and Herzegovina,,
BLR,Belarus,,
BLZ,Belize,4.03645,2229.258474
BMU,,6.0022,
BOL,Bolivia,4.32969,2153.282373
BRA,Brazil,2.00603,6593.323952
BRB,Barbados,2.61681,7742.936626
CAF,Central African Republic,4.68925,570.4629789
CAN,Canada,2.02008,17808.8066
CHE,Switzerland,1.65031,24739.68195
CHL,Chile,3.35402,4481.616198
CHN,China,1.82832,762.5809013
CIV,Côte d'Ivoire,3.69986,1908.450361
CMR,Cameroon,4.09706,2138.819391
COD,"Congo, Democratic Republic of the",4.41785,847.9615096
COG,"Congo, Republic of",5.29973,2463.714456
COL,Colombia,3.92428,4132.118132
COM,Comoros,4.12379,981.9810751
CPV,Cabo Verde,4.48251,1386.264529
CRI,Costa Rica,3.50673,4210.831358
CUB,,3.64476,
CYM,,4.70107,
CYP,Cyprus,2.63565,11434.42552
CZE,Czech Republic,,
DEU,Germany,1.43679,16828.11529
DJI,Djibouti,2.76185,
DMA,Dominica,5.13639,3314.645779
DNK,Denmark,1.49991,18721.63824
DOM,Dominican Republic,3.02993,3453.765283
DZA,Algeria,4.78374,6349.824153
ECU,Ecuador,4.21357,3911.483179
EGY,Egypt,4.33716,3811.253578
ERI,Eritrea,,
ESP,Spain,1.50522,12103.69024
EST,Estonia,,
ETH,Ethiopia,,400.9597414
FIN,Finland,2.11781,15368.8914
FJI,Fiji,3.45826,2650.540985
FRA,France,1.20869,15929.34995
FRO,,4.92369,
GAB,Gabon,5.07302,9833.103314
GBR,United Kingdom,1.44306,14469.87925
GEO,Georgia,,
GHA,Ghana,4.40798,1068.215931
GIB,,2.25114,
GIN,Guinea,5.33019,
GMB,"Gambia, The",3.85012,915.6631237
GNB,Guinea-Bissau,4.30678,759.434975
GNQ,Equatorial Guinea,4.92951,520.0889577
GRC,Greece,2.25262,11637.77345
GRD,Grenada,4.67419,3637.713952
GRL,,5.06317,
GTM,Guatemala,3.20354,3104.933984
GUY,Guyana,4.28544,1941.039484
HKG,Hong Kong SAR,2.41342,13731.89758
HND,Honduras,4.08829,1828.252799
HRV,Croatia,,
HTI,Haiti,3.08242,1250.898597
HUN,Hungary,1.47084,9996.171186
IDN,Indonesia,3.54835,2153.60678
IND,India,2.33376,906.5655823
IRL,Ireland,1.97784,10532.85303
IRN,Iran,5.86172,6010.660677
IRQ,Iraq,5.87038,
ISL,Iceland,4.22977,17352.23005
ISR,Israel,2.70317,10964.07767
ITA,Italy,1.42358,16358.05826
JAM,Jamaica,3.67867,4612.674198
JOR,Jordan,2.62867,5130.911176
JPN,Japan,2.14714,14548.27268
KAZ,Kazakhstan,,
KEN,Kenya,3.25515,1437.765934
KGZ,Kyrgyz Republic,,
KHM,Cambodia,4.23307,595.6385421
KIR,Kiribati,4.75069,1055.886207
KNA,St. Kitts and Nevis,3.09854,6790.172579
KOR,Korea,2.06536,5280.51487
KWT,Kuwait,4.78938,29494.09392
LAO,Lao P.D.R.,3.94336,884.1046379
LBN,Lebanon,2.60904,12167.7682
LBR,Liberia,4.53762,
LBY,Libya,5.71377,14500.36262
LCA,St. Lucia,5.48808,4215.124388
LKA,Sri Lanka,3.59972,1743.446732
LTU,Lithuania,,
LVA,Latvia,,
MAC,Macao SAR,3.68092,
MAR,Morocco,3.1264,2114.899761
MDA,Moldova,,
MDG,Madagascar,4.14289,947.9530479
MDV,Maldives,4.75798,2281.981207
MEX,Mexico,2.6387,7098.565884
MKD,"Macedonia, FYR",,
MLI,Mali,5.18281,699.7148737
MLT,Malta,3.11456,9052.50341
MMR,Myanmar,3.34235,
MNG,Mongolia,3.77385,
MOZ,Mozambique,2.8407,183.8452277
MRT,Mauritania,4.50564,
MSR,,4.20936,
MUS,Mauritius,3.88422,3697.433398
MWI,Malawi,4.95308,424.1412373
MYS,Malaysia,2.90011,5081.729956
NCL,,5.04245,
NER,Niger,5.63248,570.0904516
NGA,Nigeria,6.05648,
NIC,Nicaragua,4.36329,
NLD,Netherlands,1.15663,16846.50599
NOR,Norway,2.7794,24715.82349
NPL,Nepal,3.39838,628.0559346
NZL,New Zealand,2.40105,13399.2842
OMN,Oman,5.61199,15199.955
PAK,Pakistan,3.13239,1540.787844
PAN,Panama,3.11899,4910.093741
PER,Peru,3.11259,4385.464971
PHL,Philippines,2.61254,2167.227971
PNG,Papua New Guinea,4.00112,975.1474173
POL,Poland,1.96694,5986.704933
PRK,,2.33069,
PRT,Portugal,2.22769,9424.357715
PRY,Paraguay,3.80577,3251.765467
PYF,,4.68565,
QAT,Qatar,5.04959,55590.30519
ROU,Romania,2.40825,7531.522535
RUS,Russia,,
RWA,Rwanda,5.5392,626.4318115
SAU,Saudi Arabia,4.9783,23637.90083
SDN,Sudan,4.18533,545.1787874
SEN,Senegal,3.19325,1135.652099
SGP,Singapore,2.34269,16204.89998
SLB,Solomon Islands,3.81628,873.2638038
SLE,Sierra Leone,4.29336,431.6241616
SLV,El Salvador,3.8627,2511.375698
SOM,Somalia,4.33775,
SRB,Serbia,,
STP,São Tomé and Príncipe,5.29536,1432.777828
SUR,Suriname,4.30083,
SVK,Slovak Republic,,
SVN,Slovenia,,
SWE,Sweden,1.694,17211.30834
SYC,Seychelles,4.66171,6382.083305
SYR,Syria,4.02883,2421.622444
TCD,Chad,5.08492,668.3829798
TGO,Togo,4.13268,825.9806584
THA,Thailand,2.35507,2817.17203
TJK,Tajikistan,,
TKM,Turkmenistan,,
TON,Tonga,3.48352,2219.799008
TTO,Trinidad and Tobago,3.94628,7508.309849
TUN,Tunisia,3.21829,3100.631797
