WB,Country,Product Diversification,GDP
ROW,14,,
ABW,,,
ADO,,3.21808,
AFG,Afghanistan,3.87175,
AGO,Angola,3.90715,1124.775747
AIA,Anguilla,,
ALB,Albania,3.22662,898.3803415
ARE,United Arab Emirates,5.51538,67002.85062
ARG,Argentina,2.78713,3207.739487
ARM,Armenia,,
ATG,Antigua and Barbuda,4.19013,1291.803178
AUS,Australia,2.37549,4960.795408
AUT,Austria,1.32515,4474.240861
AZE,Azerbaijan,,
BDI,Burundi,5.3313,192.7384979
BEL,Belgium,1.31046,4411.979034
BEN,Benin,3.84985,365.0562822
BFA,Burkina Faso,4.36184,231.0292265
BGD,Bangladesh,,272.903583
BGR,Bulgaria,2.02713,1312.4871
BHR,Bahrain,4.34385,7180.37719
BHS,"Bahamas, The",3.99107,4290.669741
BIH,Bosnia and Herzegovina,,
BLR,Belarus,,
BLZ,Belize,3.8676,636.6981068
BMU,,4.07757,
BOL,Bolivia,4.07059,955.3645906
BRA,Brazil,3.06439,1544.696645
BRB,Barbados,3.05046,1725.815512
CAF,Central African Republic,4.50855,215.2703559
CAN,Canada,2.26223,4946.698043
CHE,Switzerland,1.72707,8368.532666
CHL,Chile,4.38297,1790.411377
CHN,China,1.69724,115.0225833
CIV,Côte d'Ivoire,4.06467,741.5904516
CMR,Cameroon,4.01524,452.2554614
COD,"Congo, Democratic Republic of the",3.84829,496.0468823
COG,"Congo, Republic of",3.90866,816.5090102
COL,Colombia,4.29456,1168.718902
COM,Comoros,4.23439,317.9270461
CPV,Cabo Verde,3.91581,
CRI,Costa Rica,4.01554,
CUB,,4.7974,
CYM,,5.41165,
CYP,Cyprus,3.32553,2565.604308
CZE,Czech Republic,,
DEU,Germany,1.29789,4751.558095
DJI,Djibouti,3.39494,
DMA,Dominica,5.64356,
DNK,Denmark,1.59863,5255.270052
DOM,Dominican Republic,4.34124,911.8208819
DZA,Algeria,5.17824,2164.734137
ECU,Ecuador,4.62833,1021.966216
EGY,Egypt,3.96416,865.2493413
ERI,Eritrea,,
ESP,Spain,1.58569,3403.344769
EST,Estonia,,
ETH,Ethiopia,,166.495624
FIN,Finland,2.41073,3860.738506
FJI,Fiji,3.99151,994.1364922
FRA,France,1.11012,4590.771785
FRO,,5.10974,
GAB,Gabon,4.60394,5058.873716
GBR,United Kingdom,1.2084,3970.059302
GEO,Georgia,,
GHA,Ghana,4.60312,579.3354857
GIB,,4.02141,
GIN,Guinea,5.53199,
GMB,"Gambia, The",4.72205,255.4350945
GNB,Guinea-Bissau,3.75976,
GNQ,Equatorial Guinea,5.2268,
GRC,Greece,2.45193,3655.383462
GRD,Grenada,4.93728,611.5593595
GRL,,5.56063,
GTM,Guatemala,3.42715,1167.925863
GUY,Guyana,4.13526,994.0115575
HKG,Hong Kong SAR,2.86958,2054.250762
HND,Honduras,4.68971,665.4184352
HRV,Croatia,,
HTI,Haiti,3.62536,449.4049771
HUN,Hungary,1.68515,2297.157754
IDN,Indonesia,3.87802,397.6439633
IND,India,2.46005,276.3836428
IRL,Ireland,1.98717,2971.562007
IRN,Iran,5.33902,4142.659664
IRQ,Iraq,6.07461,
ISL,Iceland,4.23357,3884.597648
ISR,Israel,2.88789,3168.717315
ITA,Italy,1.40737,4172.60393
JAM,Jamaica,4.29451,1787.136469
JOR,Jordan,3.02188,1430.571018
JPN,Japan,1.57845,3408.635156
KAZ,Kazakhstan,,
KEN,Kenya,3.38141,418.7184086
KGZ,Kyrgyz Republic,,
KHM,Cambodia,3.74118,
KIR,Kiribati,6.43632,
KNA,St. Kitts and Nevis,,1126.589727
KOR,Korea,2.84013,621.7761736
KWT,Kuwait,5.70876,31045.29234
LAO,Lao P.D.R.,4.17368,248.6658953
LBN,Lebanon,2.18694,5612.380575
LBR,Liberia,4.97948,
LBY,Libya,6.3972,9531.536589
LCA,St. Lucia,5.49069,687.9919645
LKA,Sri Lanka,4.7735,406.4622737
LTU,Lithuania,,
LVA,Latvia,,
MAC,Macao SAR,3.58403,
MAR,Morocco,3.24955,645.8390352
MDA,Moldova,,
MDG,Madagascar,3.67939,583.4572412
MDV,Maldives,6.38207,646.2334497
MEX,Mexico,2.12345,2077.406452
MKD,"Macedonia, FYR",,
MLI,Mali,3.90525,336.4955002
MLT,Malta,2.76782,
MMR,Myanmar,4.19572,
MNG,Mongolia,4.21764,
